Batting_position ,BATTING,Team,Match,Match Number ,wicket_type,Runs ,Balls ,M,4s,6s,SR
3,Sai Sudharsan,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,13,c sub (AS Roy) b Narine,53,38,64,3,2,139.47
4,Abhinav Manohar,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,13,b Suyash Sharma,14,8,13,3,0,175
5,Vijay Shankar,Gujarat Titans,Gujarat Titans vs Kolkata Knight Riders,13,not out,63,24,33,4,5,262.5
1,Rahmanullah Gurbaz †,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125
2,Narayan Jagadeesan,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c Manohar b Little,6,8,21,1,0,75
3,Venkatesh Iyer,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c Shubman Gill b Joseph,83,40,64,8,5,207.5
4,Nitish Rana (c),Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c Mohammed Shami b Joseph,45,29,42,4,3,155.17
5,Rinku Singh,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,not out,48,21,43,1,6,228.57
6,Andre Russell,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c sub (†KS Bharat) b Rashid Khan,1,2,6,0,0,50
7,Sunil Narine,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0
8,Shardul Thakur,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,lbw b Rashid Khan,0,1,3,0,0,0
9,Umesh Yadav,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders,13,not out,5,6,19,0,0,83.33
1,Prabhsimran Singh,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,lbw b Kumar,0,1,2,0,0,0
2,Shikhar Dhawan (c),Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,not out,99,66,105,12,5,150
3,Matthew Short,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,lbw b Jansen,1,3,9,0,0,33.33
4,Jitesh Sharma †,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,c Markram b Jansen,4,9,13,1,0,44.44
5,Sam Curran,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,c Kumar b Markande,22,15,25,3,1,146.66
6,Sikandar Raza,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,c Agarwal b Umran Malik,5,6,5,0,0,83.33
7,M Shahrukh Khan,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,lbw b Markande,4,3,7,1,0,133.33
8,Harpreet Brar,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,b Umran Malik,1,2,5,0,0,50
9,Rahul Chahar,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,lbw b Markande,0,8,10,0,0,0
10,Nathan Ellis,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,b Markande,0,5,10,0,0,0
11,Mohit Rathee,Punjab Kings , Punjab Kings vs Sunrisers Hyderabad ,14,not out,1,2,25,0,0,50
1,Harry Brook,Sunrisers Hyderabad , Punjab Kings vs Sunrisers Hyderabad ,14,b Arshdeep Singh,13,14,18,3,0,92.85
2,Mayank Agarwal,Sunrisers Hyderabad , Punjab Kings vs Sunrisers Hyderabad ,14,c Curran b Chahar,21,20,38,3,0,105
3,Rahul Tripathi,Sunrisers Hyderabad , Punjab Kings vs Sunrisers Hyderabad ,14,not out,74,48,61,10,3,154.16
4,Aiden Markram (c),Sunrisers Hyderabad , Punjab Kings vs Sunrisers Hyderabad ,14,not out,37,21,41,6,0,176.19
1,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c Stoinis b Mishra,61,44,50,4,4,138.63
2,Faf du Plessis (c),Royal Challengers Bangalore,Royal Challengers Bangalore vs Lucknow Super Giants ,15,not out,79,46,104,5,5,171.73
3,Glenn Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Lucknow Super Giants ,15,b Wood,59,29,54,3,6,203.44
4,Dinesh Karthik †,Royal Challengers Bangalore,Royal Challengers Bangalore vs Lucknow Super Giants ,15,not out,1,1,2,0,0,100
1,Kyle Mayers,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,b Mohammed Siraj,0,3,5,0,0,0
2,KL Rahul (c),Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c Kohli b Mohammed Siraj,18,20,61,1,0,90
3,Deepak Hooda,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c †Karthik b Parnell,9,10,19,1,0,90
4,Krunal Pandya,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c †Karthik b Parnell,0,2,3,0,0,0
5,Marcus Stoinis,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66
6,Nicholas Pooran †,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31
7,Ayush Badoni,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,hit wicket b Parnell,30,24,45,4,0,125
8,Jaydev Unadkat,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,c du Plessis b Patel,9,7,19,1,0,128.57
9,Mark Wood,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,b Patel,1,2,6,0,0,50
10,Ravi Bishnoi,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,not out,3,2,8,0,0,150
11,Avesh Khan,Lucknow Super Giants ,Royal Challengers Bangalore vs Lucknow Super Giants ,15,not out,0,1,3,0,0,0
1,David Warner (c),Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Meredith b Behrendorff,51,47,94,6,0,108.51
2,Prithvi Shaw,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Green b Shokeen,15,10,17,3,0,150
3,Manish Pandey,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Behrendorff b Chawla,26,18,24,5,0,144.44
4,Yash Dhull,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Wadhera b Meredith,2,4,7,0,0,50
5,Rovman Powell,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,lbw b Chawla,4,4,6,1,0,100
6,Lalit Yadav,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,b Chawla,2,4,10,0,0,50
7,Axar Patel,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Arshad Khan b Behrendorff,54,25,29,4,5,216
8,Abishek Porel †,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,c Green b Behrendorff,1,3,8,0,0,33.33
9,Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,run out (Wadhera),0,1,2,0,0,0
10,Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,b Meredith,5,3,7,1,0,166.66
11,Mustafizur Rahman,Delhi Capitals ,Delhi Capitals vs Mumbai Indians ,16,not out,1,1,5,0,0,100
1,Rohit Sharma (c),Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,c †Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44
2,Ishan Kishan †,Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23
3,Tilak Varma,Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37
4,Suryakumar Yadav,Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0
5,Tim David,Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,not out,13,11,27,0,1,118.18
6,Cameron Green,Mumbai Indians ,Delhi Capitals vs Mumbai Indians ,16,not out,17,8,20,1,1,212.5
1,Yashasvi Jaiswal,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,c Dube b Deshpande,10,8,9,2,0,125
2,Jos Buttler,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,b Ali,52,36,79,1,3,144.44
3,Devdutt Padikkal,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,c Conway b Jadeja,38,26,33,5,0,146.15
4,Sanju Samson (c)†,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,b Jadeja,0,2,2,0,0,0
5,Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,c Magala b Akash Singh,30,22,29,1,2,136.36
6,Shimron Hetmyer,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,not out,30,18,28,2,2,166.66
7,Dhruv Jurel,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,c Dube b Akash Singh,4,6,15,0,0,66.66
8,Jason Holder,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,c Conway b Deshpande,0,1,6,0,0,0
9,Adam Zampa,Rajasthan Royals,Rajasthan Royals vs Chennai Super Kings ,17,run out (Theekshana/†Dhoni),1,1,2,0,0,100
1,Ruturaj Gaikwad,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80
2,Devon Conway,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,c Jaiswal b Chahal,50,38,82,6,0,131.57
3,Ajinkya Rahane,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,lbw b Ashwin,31,19,38,2,1,163.15
4,Shivam Dube,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,lbw b Ashwin,8,9,13,1,0,88.88
5,Moeen Ali,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,c Sandeep Sharma b Zampa,7,10,12,0,0,70
6,Ambati Rayudu,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,c Hetmyer b Chahal,1,2,4,0,0,50
7,Ravindra Jadeja,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,not out,25,15,35,1,2,166.66
8,MS Dhoni (c)†,Chennai Super Kings ,Rajasthan Royals vs Chennai Super Kings ,17,not out,32,17,30,1,3,188.23
1,Prabhsimran Singh,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,c Rashid Khan b Mohammed Shami,0,2,3,0,0,0
2,Shikhar Dhawan (c),Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,c Joseph b Little,8,8,20,2,0,100
3,Matthew Short,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,b Rashid Khan,36,24,38,6,1,150
4,Bhanuka Rajapaksa,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,c Shubman Gill b Joseph,20,26,73,1,0,76.92
5,Jitesh Sharma †,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,c †Saha b Sharma,25,23,29,5,0,108.69
6,Sam Curran,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,c Shubman Gill b Sharma,22,22,33,1,1,100
7,M Shahrukh Khan,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,run out (Miller/†Saha),22,9,19,1,2,244.44
8,Harpreet Brar,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,not out,8,5,12,0,1,160
9,Rishi Dhawan,Punjab Kings ,Punjab Kings  vs Gujarat Titans,18,run out (†Saha),1,1,4,0,0,100
1,Wriddhiman Saha †,Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,c Short b Rabada,30,19,-,5,0,157.89
2,Shubman Gill,Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,b Curran,67,49,-,7,1,136.73
3,Sai Sudharsan,Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,c Prabhsimran Singh b Arshdeep Singh,19,20,-,2,0,95
4,Hardik Pandya (c),Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,c Curran b Harpreet Brar,8,11,-,1,0,72.72
5,David Miller,Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,not out,17,18,-,1,0,94.44
6,Rahul Tewatia,Gujarat Titans,Punjab Kings  vs Gujarat Titans,18,not out,5,2,-,1,0,250
1,Harry Brook,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,not out,100,55,99,12,3,181.81
2,Mayank Agarwal,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Varun b Russell,9,13,22,0,0,69.23
3,Rahul Tripathi,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c †Rahmanullah Gurbaz b Russell,9,4,6,2,0,225
4,Aiden Markram (c),Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Russell b Varun,50,26,32,2,5,192.3
5,Abhishek Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Thakur b Russell,32,17,28,3,2,188.23
6,Heinrich Klaasen †,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Kolkata Knight Riders,19,not out,16,6,13,2,1,266.66
1,Rahmanullah Gurbaz †,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Umran Malik b Kumar,0,3,3,0,0,0
2,Narayan Jagadeesan,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c sub (GD Phillips) b Markande,36,21,41,5,1,171.42
3,Venkatesh Iyer,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Markram b Jansen,10,11,15,2,0,90.9
4,Sunil Narine,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Markram b Jansen,0,1,2,0,0,0
5,Nitish Rana (c),Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Washington Sundar b Natarajan,75,41,67,5,6,182.92
6,Andre Russell,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Jansen b Markande,3,6,10,0,0,50
7,Rinku Singh,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,not out,58,31,51,4,4,187.09
8,Shardul Thakur,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,c Washington Sundar b Umran Malik,12,7,15,2,0,171.42
9,Umesh Yadav,Kolkata Knight Riders,Sunrisers Hyderabad vs Kolkata Knight Riders,19,not out,1,1,4,0,0,100
1,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c Dhull b Lalit Yadav,50,34,46,6,1,147.05
2,Faf du Plessis (c),Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c Aman Hakim Khan b Marsh,22,16,21,3,1,137.5
3,Mahipal Lomror,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c †Abishek Porel b Marsh,26,18,38,0,2,144.44
4,Glenn Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c Warner b Kuldeep Yadav,24,14,25,0,3,171.42
5,Harshal Patel,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c †Abishek Porel b Patel,6,4,9,0,1,150
6,Shahbaz Ahmed,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,not out,20,12,31,3,0,166.66
7,Dinesh Karthik †,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,c Lalit Yadav b Kuldeep Yadav,0,1,2,0,0,0
8,Anuj Rawat,Royal Challengers Bangalore,Royal Challengers Bangalore vs Delhi Capitals ,20,not out,15,22,26,1,0,68.18
1,David Warner (c),Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Kohli b Vyshak,19,13,33,4,0,146.15
2,Prithvi Shaw,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,run out (Anuj Rawat),0,2,4,0,0,0
3,Mitchell Marsh,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Kohli b Parnell,0,4,7,0,0,0
4,Yash Dhull,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,lbw b Mohammed Siraj,1,4,6,0,0,25
5,Manish Pandey,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,lbw b de Silva,50,38,59,5,1,131.57
6,Abishek Porel †,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Parnell b Patel,5,8,17,0,0,62.5
7,Axar Patel,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Mohammed Siraj b Vyshak,21,14,18,3,0,150
8,Aman Hakim Khan,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Kohli b Mohammed Siraj,18,10,27,1,1,180
9,Lalit Yadav,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,c Maxwell b Vyshak,4,7,10,0,0,57.14
10,Anrich Nortje,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,not out,23,14,19,4,0,164.28
11,Kuldeep Yadav,Delhi Capitals ,Royal Challengers Bangalore vs Delhi Capitals ,20,not out,7,6,10,1,0,116.66
1,KL Rahul (c),Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c sub (NT Ellis) b Arshdeep Singh,74,56,101,8,1,132.14
2,Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c Harpreet Singh b Harpreet Brar,29,23,34,1,3,126.08
3,Deepak Hooda,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,lbw b Sikandar Raza,2,3,7,0,0,66.66
4,Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c Shahrukh Khan b Rabada,18,17,30,2,0,105.88
5,Nicholas Pooran †,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c Shahrukh Khan b Rabada,0,1,5,0,0,0
6,Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c †Sharma b Curran,15,11,22,0,2,136.36
7,Ayush Badoni,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,not out,5,6,17,0,0,83.33
8,Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c Sikandar Raza b Curran,1,2,7,0,0,50
9,Yudhvir Singh,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,c Shahrukh Khan b Curran,0,1,3,0,0,0
10,Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Punjab Kings ,21,not out,3,1,3,0,0,300
1,Atharva Taide,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c Avesh Khan b Yudhvir Singh,0,3,3,0,0,0
2,Prabhsimran Singh,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,b Yudhvir Singh,4,4,12,1,0,100
3,Matthew Short,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c Stoinis b Gowtham,34,22,30,5,1,154.54
4,Harpreet Singh,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c sub (PN Mankad) b Pandya,22,22,41,3,0,100
5,Sikandar Raza,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02
6,Sam Curran (c),Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c Pandya b Ravi Bishnoi,6,6,15,1,0,100
7,Jitesh Sharma †,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c Rahul b Wood,2,4,10,0,0,50
8,M Shahrukh Khan,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,not out,23,10,26,1,2,230
9,Harpreet Brar,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,c †Pooran b Wood,6,4,10,1,0,150
10,Kagiso Rabada,Punjab Kings ,Lucknow Super Giants vs Punjab Kings ,21,not out,0,1,4,0,0,0
1,Rahmanullah Gurbaz †,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c Jansen b Chawla,8,12,39,0,0,66.66
2,Narayan Jagadeesan,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c Shokeen b Green,0,5,12,0,0,0
3,Venkatesh Iyer,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c Jansen b Meredith,104,51,82,6,9,203.92
4,Nitish Rana (c),Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c sub (Ramandeep Singh) b Shokeen,5,10,13,0,0,50
5,Shardul Thakur,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c Tilak Varma b Shokeen,13,11,23,1,0,118.18
6,Rinku Singh,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,c Wadhera b Jansen,18,18,32,2,0,100
7,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,not out,21,11,18,3,1,190.9
8,Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Mumbai Indians ,22,not out,2,2,9,0,0,100
1,Rohit Sharma,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,c Yadav b Suyash Sharma,20,13,25,1,2,153.84
2,Ishan Kishan †,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,b Varun,58,25,39,5,5,232
3,Suryakumar Yadav (c),Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172
4,Tilak Varma,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,b Suyash Sharma,30,25,32,3,1,120
5,Tim David,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,not out,24,13,27,1,2,184.61
6,Nehal Wadhera,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150
7,Cameron Green,Mumbai Indians ,Kolkata Knight Riders vs Mumbai Indians ,22,not out,1,1,3,0,0,100
1,Wriddhiman Saha †,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,c & b Boult,4,3,4,1,0,133.33
2,Shubman Gill,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,c Buttler b Sandeep Sharma,45,34,70,4,1,132.35
3,Sai Sudharsan,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,run out (Buttler/†Samson),20,19,23,2,0,105.26
4,Hardik Pandya (c),Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,c Jaiswal b Chahal,28,19,22,3,1,147.36
5,David Miller,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,c Hetmyer b Sandeep Sharma,46,30,43,3,2,153.33
6,Abhinav Manohar,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,c Padikkal b Zampa,27,13,17,0,3,207.69
7,Rahul Tewatia,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,not out,1,1,10,0,0,100
8,Rashid Khan,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,run out (Buttler/Sandeep Sharma),1,1,4,0,0,100
9,Alzarri Joseph,Gujarat Titans,Gujarat Titans vs Rajasthan Royals,23,not out,0,0,2,0,0,-
1,Yashasvi Jaiswal,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Shubman Gill b Pandya,1,7,9,0,0,14.28
2,Jos Buttler,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,b Mohammed Shami,0,5,14,0,0,0
3,Devdutt Padikkal,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Sharma b Rashid Khan,26,25,38,2,2,104
4,Sanju Samson (c)†,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Miller b Noor Ahmad,60,32,61,3,6,187.5
5,Riyan Parag,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Miller b Rashid Khan,5,7,10,0,0,71.42
6,Shimron Hetmyer,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,not out,56,26,44,2,5,215.38
7,Dhruv Jurel,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Sharma b Mohammed Shami,18,10,19,2,1,180
8,Ravichandran Ashwin,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33
9,Trent Boult,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals,23,not out,0,1,3,0,0,0
1,Ruturaj Gaikwad,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,c Parnell b Mohammed Siraj,3,6,12,0,0,50
2,Devon Conway,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,b Patel,83,45,73,6,6,184.44
3,Ajinkya Rahane,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,b de Silva,37,20,33,3,2,185
4,Shivam Dube,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,c Mohammed Siraj b Parnell,52,27,35,2,5,192.59
5,Ambati Rayudu,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,c †Karthik b Vyshak,14,6,11,1,1,233.33
6,Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,not out,19,9,24,0,2,211.11
7,Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,c Prabhudessai b Maxwell,10,8,17,0,1,125
8,MS Dhoni (c)†,Chennai Super Kings ,Chennai Super Kings vs Royal Challengers Bangalore,24,not out,1,1,2,0,0,100
1,Virat Kohli,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,b Akash Singh,6,4,3,1,0,150
2,Faf du Plessis (c),Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c †Dhoni b Ali,62,33,64,5,4,187.87
3,Mahipal Lomror,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c Gaikwad b Deshpande,0,5,7,0,0,0
4,Glenn Maxwell,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c †Dhoni b Theekshana,76,36,46,3,8,211.11
5,Shahbaz Ahmed,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c Gaikwad b Pathirana,12,10,29,0,1,120
6,Dinesh Karthik †,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c Theekshana b Deshpande,28,14,15,3,1,200
7,Suyash Prabhudessai,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c Jadeja b Pathirana,19,11,20,0,2,172.72
8,Wayne Parnell,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,c Dube b Deshpande,2,5,7,0,0,40
9,Wanindu Hasaranga,Royal Challengers Bangalore,Chennai Super Kings vs Royal Challengers Bangalore,24,not out,2,2,10,0,0,100
1,Rohit Sharma (c),Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,25,c Markram b Natarajan,28,18,22,6,0,155.55
2,Ishan Kishan †,Mumbai Indians ,Mumbai Indians vs Sunrisers Hyderabad ,25,c Markram b Jansen,38,31,51,3,2,122.58
