BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Josh Hazlewood,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,29,1,9.66,9,2,2,0,1,
Wanindu Hasaranga,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,4,0,32,0,8,9,2,2,0,0,
Karn Sharma,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,3,0,33,1,11,4,4,1,0,0,
Mahipal Lomror,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,1,0,13,0,13,1,1,1,0,0,
Harshal Patel,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,50,2,0,32,1,16,4,2,3,1,0,
Mohsin Khan,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,3,0,42,1,14,4,5,2,2,0,
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,4,0,34,1,8.5,8,2,2,0,0,
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,4,0,38,0,9.5,5,2,2,0,0,
Yash Thakur,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,4,0,48,0,12,4,2,4,1,0,
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,2,0,21,0,10.5,2,0,2,1,0,
Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,1,0,16,0,16,1,3,0,0,1,
Swapnil Singh,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,1,0,7,0,7,1,0,0,0,0,
Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Gujarat Titans,51,1,0,20,0,20,0,1,2,0,0,
Mohammed Shami,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,4,0,37,1,9.25,9,3,2,1,0,
Hardik Pandya,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,3,0,37,0,12.33,6,6,1,2,0,
Rashid Khan,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,4,0,34,1,8.5,6,1,2,0,0,
Noor Ahmad,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,4,0,26,1,6.5,11,4,0,1,0,
Mohit Sharma,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,4,0,29,4,7.25,9,1,2,1,0,
Alzarri Joseph,Gujarat Titans,Lucknow Super Giants vs Gujarat Titans,51,1,0,5,0,5,4,1,0,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,44,1,11,7,6,1,2,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,44,1,11,5,6,1,1,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,36,0,9,8,4,1,1,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,51,0,12.75,7,1,6,0,0,
Abhishek Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,2,0,15,0,7.5,5,1,1,0,0,
Vivrant Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Rajasthan Royals,52,2,0,18,0,9,4,1,1,1,0,
Sandeep Sharma,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,48,0,12,5,5,2,0,1,
Kuldip Yadav,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,50,1,12.5,5,2,4,0,0,
Ravichandran Ashwin,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,35,1,8.75,5,2,1,3,0,
Yuzvendra Chahal,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,4,0,29,4,7.25,11,3,1,0,0,
Murugan Ashwin,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,3,0,42,0,14,3,2,4,0,0,
Obed McCoy,Rajasthan Royals,Sunrisers Hyderabad vs Rajasthan Royals,52,1,0,13,0,13,2,1,1,1,0,
Vaibhav Arora,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,3,0,32,0,10.66,8,7,0,1,0,
Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,3,0,33,2,11,9,4,2,0,1,
Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,1,0,19,0,19,1,4,0,0,1,
Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,4,0,26,3,6.5,11,2,1,1,0,
Suyash Sharma,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,4,0,26,1,6.5,12,1,2,1,0,
Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,4,0,29,0,7.25,9,2,1,1,0,
Nitish Rana,Kolkata Knight Riders,Kolkata Knight Riders vs Punjab Kings ,53,1,0,7,1,7,3,1,0,0,0,
Rishi Dhawan,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,2,0,15,0,7.5,5,2,0,0,0,
Arshdeep Singh,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,4,0,39,0,9.75,10,6,1,1,0,
Nathan Ellis,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,4,0,29,1,7.25,7,2,1,0,0,
Sam Curran,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,3,0,44,0,14.66,5,5,3,1,0,
Liam Livingstone,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,2,0,27,0,13.5,2,4,1,0,0,
Harpreet Brar,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,1,0,4,1,4,2,0,0,0,0,
Rahul Chahar,Punjab Kings ,Kolkata Knight Riders vs Punjab Kings ,53,4,0,23,2,5.75,8,1,0,1,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,4,0,36,3,9,9,5,1,0,0,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,4,0,41,0,10.25,8,5,2,0,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,2,0,15,1,7.5,6,3,0,0,0,
Chris Jordan,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,4,0,48,1,12,7,4,3,1,0,
Kumar Kartikeya,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,4,0,35,1,8.75,6,3,1,1,0,
Akash Madhwal,Mumbai Indians ,Mumbai Indians vs Royal Challengers Bangalore,54,2,0,23,0,11.5,1,1,1,0,1,
Mohammed Siraj,Royal Challengers Bangalore,Mumbai Indians vs Royal Challengers Bangalore,54,3,0,31,0,10.33,10,2,3,1,0,
Josh Hazlewood,Royal Challengers Bangalore,Mumbai Indians vs Royal Challengers Bangalore,54,3,0,32,0,10.66,7,5,1,1,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Mumbai Indians vs Royal Challengers Bangalore,54,4,0,53,2,13.25,5,2,5,1,0,
Vijaykumar Vyshak,Royal Challengers Bangalore,Mumbai Indians vs Royal Challengers Bangalore,54,3,0,37,2,12.33,7,2,3,1,1,
Harshal Patel,Royal Challengers Bangalore,Mumbai Indians vs Royal Challengers Bangalore,54,3.3,0,41,0,11.71,3,5,1,1,1,
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,4,0,32,1,8,9,1,2,2,0,
Ishant Sharma,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,2,0,23,0,11.5,4,4,0,2,0,
Lalit Yadav,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,3,0,34,1,11.33,6,2,3,0,0,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,4,0,27,2,6.75,8,2,1,0,0,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,4,0,28,1,7,6,0,1,3,0,
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,55,3,0,18,3,6,7,1,0,3,0,
Deepak Chahar,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,3,0,28,2,9.33,10,3,2,1,0,
Tushar Deshpande,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,3,0,18,0,6,9,1,1,0,0,
Maheesh Theekshana,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,2,0,16,0,8,2,0,1,0,0,
Ravindra Jadeja,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,4,0,19,1,4.75,10,1,0,0,0,
Moeen Ali,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,4,0,16,0,4,13,0,1,0,0,
Matheesha Pathirana,Chennai Super Kings ,Delhi Capitals vs Chennai Super Kings ,55,4,0,37,3,9.25,11,5,1,4,0,
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,3,0,15,2,5,13,2,0,0,0,
Sandeep Sharma,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,4,0,34,1,8.5,12,2,3,0,0,
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,4,0,32,0,8,6,1,2,0,0,
Joe Root,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,2,0,14,0,7,2,1,0,0,0,
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,4,0,25,4,6.25,11,2,1,0,0,
KM Asif,Rajasthan Royals,Rajasthan Royals vs Kolkata Knight Riders,56,3,0,27,1,9,4,0,2,1,0,
Nitish Rana,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,1,0,26,0,26,0,3,2,0,0,
Harshit Rana,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,2,0,22,0,11,6,2,1,2,0,
Shardul Thakur,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,1.1,0,18,0,15.42,1,4,0,0,0,
Varun Chakravarthy,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,3,0,28,0,9.33,10,3,2,1,0,
Sunil Narine,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,2,0,13,0,6.5,5,0,1,0,0,
Suyash Sharma,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,3,0,22,0,7.33,7,2,1,0,0,
Anukul Roy,Kolkata Knight Riders,Rajasthan Royals vs Kolkata Knight Riders,56,1,0,20,0,20,1,0,3,0,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Mumbai Indians ,57,4,0,53,0,13.25,9,5,4,0,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Mumbai Indians ,57,4,0,43,1,10.75,10,6,2,0,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Mumbai Indians ,57,4,0,30,4,7.5,10,5,0,0,0,
Noor Ahmad,Gujarat Titans,Gujarat Titans vs Mumbai Indians ,57,4,0,38,0,9.5,7,4,1,0,0,
Alzarri Joseph,Gujarat Titans,Gujarat Titans vs Mumbai Indians ,57,4,0,52,0,13,5,2,5,0,0,
Jason Behrendorff,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,4,0,37,1,9.25,8,5,1,1,0,
Akash Madhwal,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,4,0,31,3,7.75,11,4,1,0,0,
Chris Jordan,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,4,0,34,0,8.5,9,3,2,0,0,
Piyush Chawla,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,4,0,36,2,9,7,4,1,0,0,
Kumar Kartikeya,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,3,0,37,2,12.33,8,0,5,2,0,
Cameron Green,Mumbai Indians ,Gujarat Titans vs Mumbai Indians ,57,1,0,13,0,13,3,0,2,0,0,
Yudhvir Singh,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,3,0,24,1,8,8,4,0,1,0,
Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,1,0,11,0,11,3,2,0,0,1,
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,4,0,24,2,6,12,2,1,0,0,
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,2,0,30,1,15,2,5,1,0,0,
Yash Thakur,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,4,0,28,1,7,11,1,2,0,0,
Amit Mishra,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,4,0,40,1,10,8,2,3,1,0,
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,2,0,23,0,11.5,1,2,1,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,4,0,30,0,7.5,8,3,1,0,0,
Fazalhaq Farooqi,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,3.2,0,32,0,9.6,8,5,0,4,0,
Glenn Phillips,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,2,0,10,1,5,5,1,0,0,0,
T Natarajan,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,4,0,31,0,7.75,8,1,2,0,0,
Mayank Markande,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,3,0,39,1,13,2,4,2,0,0,
Abhishek Sharma,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,58,3,0,42,1,14,6,1,5,1,0,
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,4,0,36,0,9,11,4,1,3,0,
Ishant Sharma,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,3,0,27,2,9,8,4,1,0,0,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,4,0,27,1,6.75,12,1,1,2,0,
Praveen Dubey,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,3,0,19,1,6.33,8,1,1,1,0,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,4,0,32,1,8,9,2,2,0,0,
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,1,0,21,0,21,0,1,2,1,0,
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,59,1,0,3,1,3,3,0,0,0,0,
Rishi Dhawan,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,1,0,10,0,10,2,2,0,0,0,
Sam Curran,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,2,0,18,0,9,4,3,0,0,0,
Harpreet Brar,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,4,0,30,4,7.5,11,5,0,1,0,
Nathan Ellis,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,4,0,26,2,6.5,6,2,0,1,0,
Arshdeep Singh,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,4,0,32,0,8,8,2,2,0,0,
Rahul Chahar,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,4,0,16,2,4,18,3,0,1,0,
Sikandar Raza,Punjab Kings ,Delhi Capitals vs Punjab Kings ,59,1,0,3,0,3,3,0,0,0,0,
Sandeep Sharma,Rajasthan Royals,Rajasthan Royals vs Royal Challengers Bangalore,60,4,0,34,1,8.5,4,4,0,1,0,
Adam Zampa,Rajasthan Royals,Rajasthan Royals vs Royal Challengers Bangalore,60,4,0,25,2,6.25,10,2,1,0,0,
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Royal Challengers Bangalore,60,4,0,37,0,9.25,4,3,1,1,0,
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Royal Challengers Bangalore,60,4,0,33,0,8.25,5,1,2,1,0,
KM Asif,Rajasthan Royals,Rajasthan Royals vs Royal Challengers Bangalore,60,4,0,42,2,10.5,8,2,3,1,0,
Mohammed Siraj,Royal Challengers Bangalore,Rajasthan Royals vs Royal Challengers Bangalore,60,2,0,10,1,5,9,2,0,1,0,
Wayne Parnell,Royal Challengers Bangalore,Rajasthan Royals vs Royal Challengers Bangalore,60,3,0,10,3,3.33,12,1,0,1,0,
Michael Bracewell,Royal Challengers Bangalore,Rajasthan Royals vs Royal Challengers Bangalore,60,3,0,16,2,5.33,10,1,1,0,0,
Karn Sharma,Royal Challengers Bangalore,Rajasthan Royals vs Royal Challengers Bangalore,60,1.3,0,19,2,12.66,5,0,3,0,0,
Glenn Maxwell,Royal Challengers Bangalore,Rajasthan Royals vs Royal Challengers Bangalore,60,1,0,3,1,3,4,0,0,0,0,
Vaibhav Arora,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,4,0,30,1,7.5,7,2,0,1,1,
Harshit Rana,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,2,0,19,0,9.5,5,2,1,0,0,
Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,4,0,36,2,9,5,2,1,1,0,
Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,4,0,15,2,3.75,10,0,0,0,0,
Shardul Thakur,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,3,0,15,1,5,7,1,0,1,0,
Suyash Sharma,Kolkata Knight Riders,Kolkata Knight Riders vs Chennai Super Kings ,61,3,0,29,0,9.66,6,0,3,0,1,
Deepak Chahar,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,3,0,27,3,9,7,3,1,2,0,
Tushar Deshpande,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,3.3,0,25,0,7.14,11,2,1,2,0,
Moeen Ali,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,4,0,31,0,7.75,8,5,0,0,0,
Maheesh Theekshana,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,3,0,22,0,7.33,3,2,0,0,0,
Matheesha Pathirana,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,3,0,23,0,7.66,8,1,0,2,1,
Ravindra Jadeja,Chennai Super Kings ,Kolkata Knight Riders vs Chennai Super Kings ,61,2,0,18,0,9,4,0,2,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,30,5,7.5,11,4,0,0,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,39,1,9.75,11,3,1,4,2,
Fazalhaq Farooqi,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,3,0,31,1,10.33,3,4,0,1,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,34,1,8.5,4,4,0,0,0,
Aiden Markram,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,1,0,13,0,13,0,2,0,0,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,3,0,27,0,9,3,4,0,0,0,
Abhishek Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Gujarat Titans,62,1,0,13,0,13,2,1,1,1,0,
Mohammed Shami,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,21,4,5.25,13,1,1,0,0,
Yash Dayal,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,31,1,7.75,11,4,0,4,0,
Rashid Khan,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,28,0,7,6,1,1,0,0,
Mohit Sharma,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,4,0,28,4,7,12,3,1,0,0,
Noor Ahmad,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,2.5,0,35,0,12.35,3,3,2,1,0,
Rahul Tewatia,Gujarat Titans,Sunrisers Hyderabad vs Gujarat Titans,62,1.1,0,7,0,6,3,1,0,0,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,30,2,7.5,9,0,2,1,0,
Chris Jordan,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,50,0,12.5,7,3,4,2,0,
Hrithik Shokeen,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,3,0,20,0,6.66,9,1,1,0,0,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,3,0,26,1,8.66,5,0,2,0,0,
Akash Madhwal,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,30,0,7.5,7,1,1,2,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Lucknow Super Giants ,63,2,0,16,0,8,5,1,1,0,0,
Krunal Pandya,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,27,0,6.75,10,4,0,0,0,
Mohsin Khan,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,3,0,26,1,8.66,8,1,2,2,0,
Naveen-ul-Haq,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,37,0,9.25,8,1,3,0,1,
Yash Thakur,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,40,2,10,9,2,2,5,1,
Swapnil Singh,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,1,0,11,0,11,1,2,0,0,0,
Ravi Bishnoi,Lucknow Super Giants ,Mumbai Indians vs Lucknow Super Giants ,63,4,0,26,2,6.5,9,2,0,1,0,
Sam Curran,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,4,0,36,2,9,9,4,1,1,0,
Kagiso Rabada,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,3,0,36,0,12,8,2,4,0,0,
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,2,0,21,0,10.5,4,2,1,2,0,
Nathan Ellis,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,4,0,46,0,11.5,6,5,2,0,0,
Rahul Chahar,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,4,0,35,0,8.75,7,4,1,0,0,
Harpreet Brar,Punjab Kings ,Punjab Kings vs Delhi Capitals ,64,3,0,39,0,13,2,3,2,2,0,
Khaleel Ahmed,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,3,1,20,1,6.66,14,1,2,0,1,
Ishant Sharma,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,3,0,36,2,12,10,5,2,0,1,
Anrich Nortje,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,4,0,36,2,9,11,2,3,0,0,
Mukesh Kumar,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,4,0,52,0,13,8,3,5,1,0,
Axar Patel,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,3,0,27,1,9,3,4,0,0,0,
Kuldeep Yadav,Delhi Capitals ,Punjab Kings vs Delhi Capitals ,64,3,0,21,0,7,4,0,1,1,0,
Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,17,1,4.25,16,2,0,2,0,
Wayne Parnell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,35,0,8.75,5,3,1,0,0,
Michael Bracewell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,2,0,13,2,6.5,5,2,0,0,0,
Shahbaz Ahmed,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,3,0,38,1,12.66,4,4,2,0,0,
Harshal Patel,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,37,1,9.25,4,3,1,1,0,
Karn Sharma,Royal Challengers Bangalore,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,3,0,45,0,15,0,1,4,1,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,48,1,12,10,7,2,1,0,
Abhishek Sharma,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,3,0,28,0,9.33,5,3,1,1,0,
T Natarajan,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,34,1,8.5,6,3,1,1,0,
Kartik Tyagi,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,1.2,0,21,0,15.75,1,4,0,1,0,
Nitish Kumar Reddy,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,2,0,19,0,9.5,3,1,1,0,1,
Mayank Dagar,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,4,0,25,0,6.25,8,1,1,0,0,
Glenn Phillips,Sunrisers Hyderabad ,Royal Challengers Bangalore vs Sunrisers Hyderabad ,65,1,0,10,0,10,1,1,0,0,0,
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,66,4,0,35,1,8.75,12,3,2,1,0,
Sandeep Sharma,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,66,4,0,46,0,11.5,6,3,3,2,1,
Navdeep Saini,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,66,4,0,40,3,10,9,6,1,1,0,
Adam Zampa,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,66,4,0,26,1,6.5,6,2,0,0,0,
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,66,4,0,40,0,10,9,3,3,1,0,
Sam Curran,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,66,4,0,46,1,11.5,9,8,1,2,0,
Kagiso Rabada,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,66,4,0,40,2,10,12,2,4,1,1,
Arshdeep Singh,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,66,4,0,40,1,10,11,4,2,3,0,
Nathan Ellis,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,66,4,0,34,1,8.5,8,3,1,1,0,
Rahul Chahar,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,66,3.4,0,28,1,7.63,5,1,1,0,0,
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,4,0,45,1,11.25,9,4,3,2,1,
Lalit Yadav,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,2,0,32,0,16,1,3,2,2,0,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,3,0,32,0,10.66,3,0,3,0,0,
Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,4,0,43,1,10.75,8,4,3,0,0,
Chetan Sakariya,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,4,0,36,1,9,9,5,0,3,1,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Chennai Super Kings ,67,3,0,34,0,11.33,2,1,3,0,0,
