BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Mark Wood,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,1,32,1,8,12,1,3,2,0,
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,39,0,9.75,5,1,3,1,0,
Amit Mishra,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,2,0,18,1,9,2,1,1,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,22,3,5.5,16,3,0,4,0,
David Willey,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,32,0,8,6,2,1,1,0,
Wayne Parnell,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,41,3,10.25,6,5,1,3,0,
Harshal Patel,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,48,2,12,5,4,3,0,0,
Karn Sharma,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,3,0,48,1,16,5,3,5,1,0,
Shahbaz Ahmed,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,1,0,15,0,15,1,0,2,0,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3,0,23,3,7.66,8,1,2,0,0,
Arshad Khan,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,1,0,12,0,12,1,2,0,1,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3,0,30,0,10,4,5,0,1,0,
Hrithik Shokeen,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,4,0,43,1,10.75,10,4,2,1,1,
Riley Meredith,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3.4,0,34,2,9.27,10,5,1,0,1,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,4,0,22,3,5.5,9,2,0,0,0,
