BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING
Akash Madhwal,,,,2,0,23,0,11.5,1,1,1,0,1,
Mohammed Siraj,,,,3,0,31,0,10.33,10,2,3,1,0,
Josh Hazlewood,,,,3,0,32,0,10.66,7,5,1,1,0,
Wanindu Hasaranga,,,,4,0,53,2,13.25,5,2,5,1,0,
Vijaykumar Vyshak,,,,3,0,37,2,12.33,7,2,3,1,1,
Harshal Patel,,,,3.3,0,41,0,11.71,3,5,1,1,1,
Khaleel Ahmed,,,,4,0,32,1,8,9,1,2,2,0,
Ishant Sharma,,,,2,0,23,0,11.5,4,4,0,2,0,
Lalit Yadav,,,,3,0,34,1,11.33,6,2,3,0,0,
Axar Patel,,,,4,0,27,2,6.75,8,2,1,0,0,
Kuldeep Yadav,,,,4,0,28,1,7,6,0,1,3,0,
Mitchell Marsh,,,,3,0,18,3,6,7,1,0,3,0,
Deepak Chahar,,,,3,0,28,2,9.33,10,3,2,1,0,
Tushar Deshpande,,,,3,0,18,0,6,9,1,1,0,0,
Maheesh Theekshana,,,,2,0,16,0,8,2,0,1,0,0,
Ravindra Jadeja,,,,4,0,19,1,4.75,10,1,0,0,0,
Moeen Ali,,,,4,0,16,0,4,13,0,1,0,0,
Matheesha Pathirana,,,,4,0,37,3,9.25,11,5,1,4,0,
Trent Boult,,,,3,0,15,2,5,13,2,0,0,0,
Sandeep Sharma,,,,4,0,34,1,8.5,12,2,3,0,0,
Ravichandran Ashwin,,,,4,0,32,0,8,6,1,2,0,0,
Joe Root,,,,2,0,14,0,7,2,1,0,0,0,
Yuzvendra Chahal,,,,4,0,25,4,6.25,11,2,1,0,0,
KM Asif,,,,3,0,27,1,9,4,0,2,1,0,
Nitish Rana,,,,1,0,26,0,26,0,3,2,0,0,
Harshit Rana,,,,2,0,22,0,11,6,2,1,2,0,
Shardul Thakur,,,,1.1,0,18,0,15.42,1,4,0,0,0,
Varun Chakravarthy,,,,3,0,28,0,9.33,10,3,2,1,0,
Sunil Narine,,,,2,0,13,0,6.5,5,0,1,0,0,
Suyash Sharma,,,,3,0,22,0,7.33,7,2,1,0,0,
Anukul Roy,,,,1,0,20,0,20,1,0,3,0,0,
Mohammed Shami,,,,4,0,53,0,13.25,9,5,4,0,0,
Mohit Sharma,,,,4,0,43,1,10.75,10,6,2,0,0,
Rashid Khan,,,,4,0,30,4,7.5,10,5,0,0,0,
Noor Ahmad,,,,4,0,38,0,9.5,7,4,1,0,0,
Alzarri Joseph,,,,4,0,52,0,13,5,2,5,0,0,
Jason Behrendorff,,,,4,0,37,1,9.25,8,5,1,1,0,
Akash Madhwal,,,,4,0,31,3,7.75,11,4,1,0,0,
Chris Jordan,,,,4,0,34,0,8.5,9,3,2,0,0,
Piyush Chawla,,,,4,0,36,2,9,7,4,1,0,0,
Kumar Kartikeya,,,,3,0,37,2,12.33,8,0,5,2,0,
Cameron Green,,,,1,0,13,0,13,3,0,2,0,0,
Yudhvir Singh,,,,3,0,24,1,8,8,4,0,1,0,
Kyle Mayers,,,,1,0,11,0,11,3,2,0,0,1,
Krunal Pandya,,,,4,0,24,2,6,12,2,1,0,0,
Avesh Khan,,,,2,0,30,1,15,2,5,1,0,0,
Yash Thakur,,,,4,0,28,1,7,11,1,2,0,0,
Amit Mishra,,,,4,0,40,1,10,8,2,3,1,0,
Ravi Bishnoi,,,,2,0,23,0,11.5,1,2,1,0,0,
Bhuvneshwar Kumar,,,,4,0,30,0,7.5,8,3,1,0,0,
Fazalhaq Farooqi,,,,3.2,0,32,0,9.6,8,5,0,4,0,
Glenn Phillips,,,,2,0,10,1,5,5,1,0,0,0,
T Natarajan,,,,4,0,31,0,7.75,8,1,2,0,0,
Mayank Markande,,,,3,0,39,1,13,2,4,2,0,0,
Abhishek Sharma,,,,3,0,42,1,14,6,1,5,1,0,
Khaleel Ahmed,,,,4,0,36,0,9,11,4,1,3,0,
Ishant Sharma,,,,3,0,27,2,9,8,4,1,0,0,
Axar Patel,,,,4,0,27,1,6.75,12,1,1,2,0,
Praveen Dubey,,,,3,0,19,1,6.33,8,1,1,1,0,
Kuldeep Yadav,,,,4,0,32,1,8,9,2,2,0,0,
Mitchell Marsh,,,,1,0,21,0,21,0,1,2,1,0,
Mukesh Kumar,,,,1,0,3,1,3,3,0,0,0,0,
Rishi Dhawan,,,,1,0,10,0,10,2,2,0,0,0,
Sam Curran,,,,2,0,18,0,9,4,3,0,0,0,
Harpreet Brar,,,,4,0,30,4,7.5,11,5,0,1,0,
Nathan Ellis,,,,4,0,26,2,6.5,6,2,0,1,0,
Arshdeep Singh,,,,4,0,32,0,8,8,2,2,0,0,
Rahul Chahar,,,,4,0,16,2,4,18,3,0,1,0,
Sikandar Raza,,,,1,0,3,0,3,3,0,0,0,0,
Sandeep Sharma,,,,4,0,34,1,8.5,4,4,0,1,0,
Adam Zampa,,,,4,0,25,2,6.25,10,2,1,0,0,
Yuzvendra Chahal,,,,4,0,37,0,9.25,4,3,1,1,0,
Ravichandran Ashwin,,,,4,0,33,0,8.25,5,1,2,1,0,
KM Asif,,,,4,0,42,2,10.5,8,2,3,1,0,
Mohammed Siraj,,,,2,0,10,1,5,9,2,0,1,0,
Wayne Parnell,,,,3,0,10,3,3.33,12,1,0,1,0,
Michael Bracewell,,,,3,0,16,2,5.33,10,1,1,0,0,
Karn Sharma,,,,1.3,0,19,2,12.66,5,0,3,0,0,
Glenn Maxwell,,,,1,0,3,1,3,4,0,0,0,0,
Vaibhav Arora,,,,4,0,30,1,7.5,7,2,0,1,1,
Harshit Rana,,,,2,0,19,0,9.5,5,2,1,0,0,
Varun Chakravarthy,,,,4,0,36,2,9,5,2,1,1,0,
Sunil Narine,,,,4,0,15,2,3.75,10,0,0,0,0,
Shardul Thakur,,,,3,0,15,1,5,7,1,0,1,0,
Suyash Sharma,,,,3,0,29,0,9.66,6,0,3,0,1,
Deepak Chahar,,,,3,0,27,3,9,7,3,1,2,0,
Tushar Deshpande,,,,3.3,0,25,0,7.14,11,2,1,2,0,
Moeen Ali,,,,4,0,31,0,7.75,8,5,0,0,0,
Maheesh Theekshana,,,,3,0,22,0,7.33,3,2,0,0,0,
Matheesha Pathirana,,,,3,0,23,0,7.66,8,1,0,2,1,
Ravindra Jadeja,,,,2,0,18,0,9,4,0,2,0,0,
Bhuvneshwar Kumar,,,,4,0,30,5,7.5,11,4,0,0,0,
Marco Jansen,,,,4,0,39,1,9.75,11,3,1,4,2,
Fazalhaq Farooqi,,,,3,0,31,1,10.33,3,4,0,1,0,
T Natarajan,,,,4,0,34,1,8.5,4,4,0,0,0,
Aiden Markram,,,,1,0,13,0,13,0,2,0,0,0,
Mayank Markande,,,,3,0,27,0,9,3,4,0,0,0,
Abhishek Sharma,,,,1,0,13,0,13,2,1,1,1,0,
Mohammed Shami,,,,4,0,21,4,5.25,13,1,1,0,0,
Yash Dayal,,,,4,0,31,1,7.75,11,4,0,4,0,
Rashid Khan,,,,4,0,28,0,7,6,1,1,0,0,
Mohit Sharma,,,,4,0,28,4,7,12,3,1,0,0,
Noor Ahmad,,,,2.5,0,35,0,12.35,3,3,2,1,0,
Rahul Tewatia,,,,1.1,0,7,0,6,3,1,0,0,0,
Jason Behrendorff,,,,4,0,30,2,7.5,9,0,2,1,0,
Chris Jordan,,,,4,0,50,0,12.5,7,3,4,2,0,
Hrithik Shokeen,,,,3,0,20,0,6.66,9,1,1,0,0,
Piyush Chawla,,,,3,0,26,1,8.66,5,0,2,0,0,
Akash Madhwal,,,,4,0,30,0,7.5,7,1,1,2,0,
Cameron Green,,,,2,0,16,0,8,5,1,1,0,0,
Krunal Pandya,,,,4,0,27,0,6.75,10,4,0,0,0,
Mohsin Khan,,,,3,0,26,1,8.66,8,1,2,2,0,
Naveen-ul-Haq,,,,4,0,37,0,9.25,8,1,3,0,1,
Yash Thakur,,,,4,0,40,2,10,9,2,2,5,1,
Swapnil Singh,,,,1,0,11,0,11,1,2,0,0,0,
Ravi Bishnoi,,,,4,0,26,2,6.5,9,2,0,1,0,
Sam Curran,,,,4,0,36,2,9,9,4,1,1,0,
Kagiso Rabada,,,,3,0,36,0,12,8,2,4,0,0,
Arshdeep Singh,,,,2,0,21,0,10.5,4,2,1,2,0,
Nathan Ellis,,,,4,0,46,0,11.5,6,5,2,0,0,
Rahul Chahar,,,,4,0,35,0,8.75,7,4,1,0,0,
Harpreet Brar,,,,3,0,39,0,13,2,3,2,2,0,
Khaleel Ahmed,,,,3,1,20,1,6.66,14,1,2,0,1,
Ishant Sharma,,,,3,0,36,2,12,10,5,2,0,1,
Anrich Nortje,,,,4,0,36,2,9,11,2,3,0,0,
Mukesh Kumar,,,,4,0,52,0,13,8,3,5,1,0,
Axar Patel,,,,3,0,27,1,9,3,4,0,0,0,
Kuldeep Yadav,,,,3,0,21,0,7,4,0,1,1,0,
Mohammed Siraj,,,,4,0,17,1,4.25,16,2,0,2,0,
Wayne Parnell,,,,4,0,35,0,8.75,5,3,1,0,0,
Michael Bracewell,,,,2,0,13,2,6.5,5,2,0,0,0,
Shahbaz Ahmed,,,,3,0,38,1,12.66,4,4,2,0,0,
Harshal Patel,,,,4,0,37,1,9.25,4,3,1,1,0,
Karn Sharma,,,,3,0,45,0,15,0,1,4,1,0,
Bhuvneshwar Kumar,,,,4,0,48,1,12,10,7,2,1,0,
Abhishek Sharma,,,,3,0,28,0,9.33,5,3,1,1,0,
T Natarajan,,,,4,0,34,1,8.5,6,3,1,1,0,
Kartik Tyagi,,,,1.2,0,21,0,15.75,1,4,0,1,0,
Nitish Kumar Reddy,,,,2,0,19,0,9.5,3,1,1,0,1,
Mayank Dagar,,,,4,0,25,0,6.25,8,1,1,0,0,
Glenn Phillips,,,,1,0,10,0,10,1,1,0,0,0,
Trent Boult,,,,4,0,35,1,8.75,12,3,2,1,0,
Sandeep Sharma,,,,4,0,46,0,11.5,6,3,3,2,1,
Navdeep Saini,,,,4,0,40,3,10,9,6,1,1,0,
Adam Zampa,,,,4,0,26,1,6.5,6,2,0,0,0,
Yuzvendra Chahal,,,,4,0,40,0,10,9,3,3,1,0,
Sam Curran,,,,4,0,46,1,11.5,9,8,1,2,0,
Kagiso Rabada,,,,4,0,40,2,10,12,2,4,1,1,
Arshdeep Singh,,,,4,0,40,1,10,11,4,2,3,0,
Nathan Ellis,,,,4,0,34,1,8.5,8,3,1,1,0,
Rahul Chahar,,,,3.4,0,28,1,7.63,5,1,1,0,0,
Khaleel Ahmed,,,,4,0,45,1,11.25,9,4,3,2,1,
Lalit Yadav,,,,2,0,32,0,16,1,3,2,2,0,
Axar Patel,,,,3,0,32,0,10.66,3,0,3,0,0,
Anrich Nortje,,,,4,0,43,1,10.75,8,4,3,0,0,
Chetan Sakariya,,,,4,0,36,1,9,9,5,0,3,1,
Kuldeep Yadav,,,,3,0,34,0,11.33,2,1,3,0,0,
Deepak Chahar,,,,4,0,22,3,5.5,14,2,1,0,0,
Tushar Deshpande,,,,4,0,26,1,6.5,12,4,0,1,0,
Maheesh Theekshana,,,,4,1,23,2,5.75,11,1,1,0,0,
Ravindra Jadeja,,,,4,0,50,1,12.5,4,3,4,1,0,
Matheesha Pathirana,,,,4,0,22,2,5.5,11,1,0,5,0,
Harshit Rana,,,,3,0,21,1,7,11,3,1,0,0,
Vaibhav Arora,,,,4,0,30,2,7.5,9,1,1,3,1,
Varun Chakravarthy,,,,4,0,38,1,9.5,10,4,2,0,0,
Nitish Rana,,,,1,0,3,0,3,4,0,0,0,0,
Shardul Thakur,,,,2,0,27,2,13.5,3,0,3,1,1,
Sunil Narine,,,,4,0,28,2,7,8,2,1,1,0,
Suyash Sharma,,,,1,0,12,0,12,2,1,1,0,0,
Andre Russell,,,,1,0,12,0,12,2,1,1,0,0,
Mohsin Khan,,,,1,0,15,0,15,2,2,1,0,0,
Naveen-ul-Haq,,,,4,0,46,0,11.5,8,6,2,0,0,
Krunal Pandya,,,,4,0,30,1,7.5,9,5,0,0,0,
Krishnappa Gowtham,,,,4,0,26,1,6.5,9,2,0,2,0,
Ravi Bishnoi,,,,4,0,23,2,5.75,10,1,1,0,0,
Yash Thakur,,,,3,0,31,2,10.33,9,1,3,3,0,
Jason Behrendorff,,,,3,0,36,0,12,7,4,2,3,0,
Cameron Green,,,,1,0,2,0,2,4,0,0,0,0,
Chris Jordan,,,,4,0,42,1,10.5,6,5,1,1,0,
Akash Madhwal,,,,4,0,37,4,9.25,7,4,1,0,1,
Piyush Chawla,,,,4,0,39,0,9.75,4,3,2,0,0,
Kumar Kartikeya,,,,4,0,39,0,9.75,6,4,1,1,0,
Bhuvneshwar Kumar,,,,4,0,26,1,6.5,8,3,0,0,0,
Nitish Kumar Reddy,,,,3,0,35,0,11.66,7,1,4,0,0,
Mayank Dagar,,,,4,0,37,1,9.25,9,4,2,0,0,
Kartik Tyagi,,,,2.5,0,41,0,14.47,4,6,1,0,3,
Umran Malik,,,,3,0,41,0,13.66,3,7,1,0,0,
Vivrant Sharma,,,,1,0,19,0,19,1,0,2,1,1,
Aiden Markram,,,,0.1,0,1,0,6,0,0,0,0,0,
Mohammed Shami,,,,4,0,39,1,9.75,9,7,0,1,0,
Yash Dayal,,,,4,0,39,1,9.75,7,5,1,0,0,
Rashid Khan,,,,4,0,24,1,6,5,1,0,0,0,
Noor Ahmad,,,,4,0,39,2,9.75,6,4,1,2,0,
Mohit Sharma,,,,4,0,54,0,13.5,2,8,1,2,0,
Mohammed Siraj,,,,4,0,32,2,8,11,2,2,2,0,
Wayne Parnell,,,,3.1,0,42,0,13.26,7,6,2,1,1,
Vijaykumar Vyshak,,,,4,0,40,1,10,6,2,2,2,0,
Himanshu Sharma,,,,3,0,28,0,9.33,4,3,1,0,0,
Harshal Patel,,,,4,0,29,1,7.25,11,2,1,2,0,
Michael Bracewell,,,,1,0,16,0,16,2,0,2,0,0,
